Device,Start Datetime,Top Speed,Previous Top Speed,Top Speed Percentage Change,Average Speed,Previous Average Speed,Avg  Speed Percentage Change,Total Distance,Previous Total Distance,Total Distance Percentage Change
#2,4/21/2024,59.6,,,16.925,,,10.2,,
#2,4/23/2024,65.9,59.6,10.570469798657726,26.85,16.925,58.64106351550961,13.5,10.2,32.352941176470594
#2,4/25/2024,58.8,65.9,-10.77389985,20.875,26.85,-22.25325885,17.2,13.5,27.40740741
#2,4/26/2024,56,58.8,-4.761904762,8.666666666666668,20.875,-58.48303393,5,17.2,-70.93023256
#2,4/30/2024,50,56,-10.71428571,16.15,8.666666666666668,86.34615384615381,9.9,5,98.00000000000001
#1,4/21/2024,60.6,,,17.615384615384617,,,54.7,,
#1,4/23/2024,60.2,60.6,-0.660066007,21.588461538461537,17.615384615384617,22.55458515283841,117.5,54.7,114.8080439
#1,4/25/2024,67.6,60.2,12.2923588,19.95714285714286,21.588461538461537,-7.556437861,92.4,117.5,-21.36170213
#1,4/26/2024,66.1,67.6,-2.218934911,20.473684210526315,19.95714285714286,2.588253023395985,105.6,92.4,14.28571429
#1,4/30/2024,70.3,66.1,6.354009077,19.4,20.473684210526315,-5.244215938,71.8,105.6,-32.00757576
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
